Positive,Negative,Neutral,Compound,Sent_result,Sentiment,Review,Index
0,0,1,0,1,Neutral,"In Section 7, we discuss response from people who have used CrystalChat.",30
0,0,1,0,1,Neutral,In Section 8 we discuss and list future work.,31
0,0,1,0,1,Neutral,We conclude in Section 9.,32
0,0,0,0,1,Neutral,2,33
0,0,1,0,1,Neutral,Related Work Visualizing online conversations has been approached from many perspectives.,34
0,0,1,0,1,Neutral,"These include visually augmenting the chat itself, visualizing the social networks formed by chat activities, and providing some trace of activities through time.",35
0,0,1,0,1,Neutral,"Most chat spaces are primarily text-based, though some graphic symbols that represent each person are often included.",36
0.101,0,0.899,0.4019,0,Positive,Comic Chat [11] augments text space by providing tools to support the use of some aspects of comics such as word balloons and comic characters.,37
0,0,1,0,1,Neutral,Each person is represented by a comic character allowing for the use of simple expressions and gestures.,38
0.123,0,0.877,0.5859,0,Positive,"This augmentation requires effort on the part of the user and, while this presentation is charming, most people still opt for the simplicity and speed of text entry.",39
0,0,1,0,1,Neutral,Chat Circles [19] provide an abstract visual system in which the chat takes place.,40
0.113,0,0.887,0.1027,0,Positive,Each individual is represented as a circle which expands to hold a message's text.,41
0,0,1,0,1,Neutral,"In order to ??쩯ar??or see the words of another's posting, your circle must be close to theirs.",42
0,0,1,0,1,Neutral,Your next posting replaces the previous one.,43
0,0,1,0,1,Neutral,"Social groupings form and adjust spatially, indicating who is listening to whom.",44
0,0,1,0,1,Neutral,"There are many other similar systems developed in the MIT Lab that also visualize the social patterns of a group of people [2,3,21].",45
0,0.098,0.902,-0.4497,2,Negative,"Here, the social information from one person is present but gets lost in many cases when the visualization is based on and/or focuses on the entire social community.",46
0,0,1,0,1,Neutral,Visualizations of the social network of online communication often use some form of graph structure in which the nodes represent the people and edges represent the relationships between people.,47
0,0,1,0,1,Neutral,Mutton [14] describes a system that uses a bot to infer a social network which is then displayed as a node and weighted edge diagram.,48
0.151,0,0.849,0.4939,0,Positive,The edge weights represent the relative strength of the relationships and a spring layout is used to display the graph.,49
0,0,1,0,1,Neutral,Our previous work [16] showed the social network with translucent directed edges.,50
0,0,1,0,1,Neutral,The relative weight of an edge builds with repeated communications.,51
0,0,1,0,1,Neutral,Both of these works show the communication network between people.,52
0,0,1,0,1,Neutral,"In contrast, Thread Arcs [10] shows the relations between email messages for one person.",53
0,0,1,0,1,Neutral,PostHistory and Social Network Fragments (SNF) [20] are two visualizations that also focus on one person.,54
0,0,1,0,1,Neutral,PostHistory displays one person's direct interactions with their email contacts.,55
0,0,1,0,1,Neutral,SNF represents people by their name.,56
0.118,0,0.882,0.4939,0,Positive,The type of relationship they have with the central person is indicated by color and the strength of their relationship is indicated by font size.,57
0,0,1,0,1,Neutral,"Again, a spring layout is used.",58
0,0.06,0.94,-0.1027,2,Negative,"While both visualizations report that the central person found meaning in these representations, they can become complex and cluttered thus, hard to decipher.",59
0.145,0,0.855,0.5499,0,Positive,"In CrystalChat, we focus on the social network revolving around one person, but support selective display of chosen subsets of this network.",60
0,0,1,0,1,Neutral,"Time lines are used to represent patterns in data sets that have been produced for periods of time [5,9,15,20].",61
0,0,1,0,1,Neutral,"These timelines make intervals, patterns, and repetitions of series of events more visible.",62
0,0,1,0,1,Neutral,"For example, LifeLines [15] is a time line that visualizes personal histories.",63
0,0,1,0,1,Neutral,This interface begins with one screen overview and then allows the user to focus on details upon request with rescaling and filtering tools provided.,64
0,0,1,0,1,Neutral,"There are many visual systems that have considered social activity, social network, and the temporal aspect in one system.",65
0,0,1,0,1,Neutral,"However, these components are either shown in separate screens or in two visualizations.",66
0,0,1,0,1,Neutral,"For example, both Chat Circles [19] and Babble [5,8] have included visualizations of social activity and timeline, but in two separate visualizations.",67
0,0,1,0,1,Neutral,Newsgroup Crowds and AuthorLines [18] also visualize the social group and the individual separately.,68
0,0,1,0,1,Neutral,"The work that is most related to CrystalChat is a user-centric social interaction system, the side by side visualizations of PostHistory and SNF [20].",69
0.172,0,0.828,0.3612,0,Positive,Their studies reveal that visualizing personal email habits supports personal narration and recall.,70
0,0,1,0,1,Neutral,"However, people and time are again presented in the division of two panels and on separate screens.",71
0,0,1,0,1,Neutral,"With multiple screens, the user would have to learn to relate the two graphical representations to see a pattern.",72
0,0.162,0.838,-0.4019,2,Negative,One can lose one's point of reference when switching from one visualization interface to another.,73
0,0,1,0,1,Neutral,Mutton [14] provides minimal evidence of temporality by fading his graph layout as time passes.,74
0,0.16,0.84,-0.2263,2,Negative,As time progresses eventually old parts of the graph will disappear.,75
0.144,0,0.856,0.4939,0,Positive,"On the other hand, CrystalChat is a visualization that combines the social network and the temporal aspect into one 3D structure.",76
0.068,0,0.932,0.1695,0,Positive,"All the social information remains and does not disappear with time, so that people can go back in time to view the conversations history.",77
0,0,0,0,1,Neutral,3,78
0,0,1,0,1,Neutral,CrystalChat The intention behind CrystalChat is to visualize one's personal chat history.,79
0.071,0,0.929,0.0772,0,Positive,Online social networks are complex structures often forming general graphs as the number of interconnections between people grows.,80
0,0,1,0,1,Neutral,"In contrast, one's connections to those people who are part of one's personal chat history can be represented simply as a hub and spoke diagram.",81
0,0,1,0,1,Neutral,"This hub and spoke diagram can be seen in Figure 2, where the hub ??here a void in the centre ??represents oneself and each spoke represents each person one chats with.",82
0,0,1,0,1,Neutral,"However, there is more data in chat history than is evident in this view.",83
0,0.071,0.929,-0.25,2,Negative,"This includes data about temporal clustering, conversation initiation, conversation termination, length of conversations, length of postings, patterns of repetitive or alternating postings, and emot,ional,tone as,""represented by emoticons.,""",84
0.145,0,0.855,0.1779,0,Positive,"within the visualization, we extend these spokes into the third dimension.",85
0.049,0,0.951,0.2023,0,Positive,"Figure 1 shows an aerial view (slightly offset from the top as seen in Figure 2) to reveal how the spokes representing the conversations with one person have become facets in which the temporal patt,erns,can be re,""vealed.,""",86
0,0,1,0,1,Neutral,3.1.,87
0.09,0,0.91,0.5514,0,Positive,"The design goals In order to visualize one's personal chat history in a single structure capable of revealing temporal patterns, we developed the following design goals: ??????????????To reveal one,pers,on's cha,""t activities using data available from chat log history.,""",88
0,0,1,0,1,Neutral,To make individual messages apparent and maintain the link between the message's visual symbol and its text contents.,89
0,0,1,0,1,Neutral,To indicate the beginning and ending of a ??웣nversation??as defined by the opening and closing of a chat dialog box.,90
0,0,1,0,1,Neutral,To represent one's interactions with each person as a distinct visual grouping in one's chat network.,91
0,0,1,0,1,Neutral,To provide a structure linking the interactions with all people in one's chat network.,92
0,0,1,0,1,Neutral,"To be able to show temporality, including both ordinallity which indicates sequencing as in which message is followed by which message, and frequency, to indicate the comparative length of time betw,een m,essages.,"",""",93
0.086,0,0.914,0.1531,0,Positive,To provide an indication of the emotional content of the chat dialog as indicated by the emoticons used.,94
0,0,1,0,1,Neutral,3.2.,95
0,0,1,0,1,Neutral,The data One approach might be to assign as much of this data as possible to different visual variables [1] and draw the spoke edges accordingly.,96
0,0,1,0,1,Neutral,This approach involves making use of the visual variables that have not been used in the basic diagram to characterize the spokes.,97
0.164,0,0.836,0.5423,0,Positive,"Since location and orientation create the hub and spoke diagram this leaves visual variables such as colour, size, shape, (light and dark) value, and texture.",98
0.167,0,0.833,0.4588,0,Positive,"For instance, characterizing the spokes according to some aspect such as posting frequency is of interest.",99
0.059,0,0.941,0.34,0,Positive,"To include as many details as possible about temporal patterning and to incorporate the actual text of the posting While CrystalChat currently uses history log data from MSN Messenger, the visualiza,tion,structure,""can easily be applied to other instant messaging systems.,""",100
0,0,1,0,1,Neutral,The history log data develops as follows.,101
0,0,1,0,1,Neutral,Chat messages are received in real time and these text messages are then stored in history log files that are ordered consecutively according to when the text message was received and written.,102
0,0,1,0,1,Neutral,The log files are formatted as an xml ordered list (see Figure 3).,103
0,0,1,0,1,Neutral,"This file contains data about the time the message was posted, the person who posted it, the person receiving it and the contents.",104
0.161,0,0.839,0.3612,0,Positive,There is a file like this one for every different person with whom one chats.,105
0,0,1,0,1,Neutral,This data format lends itself to revealing chat patterns between oneself and one other person.,106
0,0.172,0.828,-0.3612,2,Negative,Viewing two separate files make comparing conversations with more than one person difficult.,107
0,0,1,0,1,Neutral,"Each message has a time stamp with the time, day, month and year.",108
0.257,0,0.743,0.6322,0,Positive,Each message also includes a ??톙??and ??쨝om?? which shows the user's friendly (nick) name.,109
0.119,0,0.881,0.3182,0,Positive,The colour and type of fonts used in the original message are also included in this xml file.,110
0,0,1,0,1,Neutral,The end of an individual message is indicated when a person hits the enter key or presses send.,111
0,0,1,0,1,Neutral,The xml file also includes information on when the \x0c4.,112
0,0,1,0,1,Neutral,"CrystalChat: the Approach In this section, we use illustrations to build up a description of the CrystalChat visual representation.",113
0,0,1,0,1,Neutral,4.1.,114
0,0,1,0,1,Neutral,Building a conversation from a sequence of messages When viewed from above each spoke represents all the conversations with one person.,115
0,0,1,0,1,Neutral,"When viewed from the side, these spokes are revealed as flat facets containing all the details of the conversations with a single person.",116
0.07,0,0.93,0.2023,0,Positive,"As shown in Figure 4, the conversations are temporally sequenced starting from the bottom so that the most recent conversation is always at the top.",117
0.096,0,0.904,0.2023,0,Positive,"This order makes more sense when viewing from the top, since the most recent conversation is in front.",118
0,0,1,0,1,Neutral,Each person in one's chat community has a facet in the crystal.,119
0.167,0,0.833,0.1531,0,Positive,The number of facets represents the number of people that were chosen to be displayed.,120
0,0,1,0,1,Neutral,All figures used for this explanation display six different people.,121
0.198,0,0.802,0.4939,0,Positive,Figures 1 and 4 show some evidence of these multiple facets along the left hand side.,122
0.145,0.104,0.751,0.1779,0,Positive,Each facet starts from the empty central hub and points outward like spokes in a wheel.,123
0.184,0,0.816,0.2023,0,Positive,Figure 2 shows the top view of the six spokes.,124
0.136,0,0.864,0.296,0,Positive,The central open region is small but important for the readability of the individual facets.,125
0.071,0,0.929,0.3182,0,Positive,"Starting the facets too close to each other can interfere with people's ability to maintain visual distinctions between the facets and, as a result, to comprehend where they are in their exploratio,""ns.,"",,",126
0,0,1,0,1,Neutral,"Figure 5: The red arrow indicates the viewpoint, the blue triangle indicates the field of view and the red line indicates the transparent shield.",127
0,0,1,0,1,Neutral,The facet in front of the transparent shield is the facet viewed in Figure 4.,128
0,0,1,0,1,Neutral,The default view is to have a single facet approximately centered on the screen (Figure 4).,129
0,0,1,0,1,Neutral,The view in Figure 4 shows one facet when viewed from between two facets.,130
0.07,0,0.93,0.2023,0,Positive,This is shown diagrammatically as a top view in Figure 5 where the red arrow indicates the viewpoint and the blue triangle shows the field of view.,131
0,0,1,0,1,Neutral,"From the diagram, one can see that several other facets would also be in the field \x0cof view.",132
0,0,1,0,1,Neutral,"To clarify the view of the facet that is being examined, a translucent shield is placed directly behind it.",133
0,0,1,0,1,Neutral,This is shown in Figure 5 by the red line.,134
0.159,0,0.841,0.3818,0,Positive,This translucent plane placed behind the current facet increases readability and makes it possible to expand the number of facets displayed.,135
0.096,0,0.904,0.2023,0,Positive,The translucent plane can also be used for the subtle display of additional information from the top view.,136
0,0,1,0,1,Neutral,This is described in section 4.5.,137
0,0,1,0,1,Neutral,4.2.,138
0,0,1,0,1,Neutral,Building a facet from a sequence of conversations Each facet is composed of a series of conversations which are constructed as follows.,139
0,0,1,0,1,Neutral,A colored disc represents a single message (Figure 6) and each colour indicates a different person (Figure 7).,140
0.109,0,0.891,0.3182,0,Positive,"In these images, the person whose chat network is displayed is represented by a neutral colour grey so that all colour choices for other people will show well in contrast.",141
0,0,1,0,1,Neutral,Left to right reading sequencing is used to order these messages.,142
0,0,1,0,1,Neutral,"That is, the messages are arranged so that the first message in the conversation starts on the left.",143
0,0,1,0,1,Neutral,"A conversation is defined, as in the data, by the opening and closing of the chat window.",144
0,0,1,0,1,Neutral,One row of message discs represents a conversation (Figure 8).,145
0,0,1,0,1,Neutral,Figure 8: The row in CrystalChat represents the conversation that occurred within a given message window.,146
0,0,1,0,1,Neutral,4.3.,147
0,0,1,0,1,Neutral,"Including the text data in the visualization As declared in our design goals, all the text details are still connected with each message disc.",148
0,0,1,0,1,Neutral,One can explore each of the conversations in detail by selecting it.,149
0,0,1,0,1,Neutral,The conversation will open diagonally to maintain both the temporal ordering and to provide space for the text of each message to be displayed (Figure 9).,150
0,0,1,0,1,Neutral,The colour of the text corresponds to the colour used to represent the person who sent the message.,151
0,0,1,0,1,Neutral,Figure 9: The text of one conversation displayed.,152
0,0,1,0,1,Neutral,4.4.,153
0,0,1,0,1,Neutral,"Augmenting the basic structure Figure 6: As indicated in red, one circle represents one message in CrystalChat.",154
0,0,1,0,1,Neutral,Figure 7: Colour is used to identify individual people.,155
0,0,1,0,1,Neutral,CrystalChat is a fully interactive 3D hub and spoke structure.,156
0.124,0,0.876,0.1779,0,Positive,The spokes extend into 3D as planes that we refer to as facets.,157
0.067,0,0.933,0.2023,0,Positive,"With the structure as described at this point, the simple view from the top (Figure 10) does not provide much in the way of additional information.",158
0.302,0,0.698,0.7964,0,Positive,It simply shows the number of facets available and is helpful in supporting the creation of a mental model of the structure as it is rotated.,159
0.087,0,0.913,0.2023,0,Positive,"When viewing from the top, the discs automatically rotate, showing their flat side and making their colour visible (Figure 10).",160
0.202,0,0.798,0.5106,0,Positive,"Within a facet, every time a conversation occurs, the conversation row is placed on top of the previous row like a stack.",161
0.124,0,0.876,0.2732,0,Positive,"Thus, the varying sizes of the message circles in the perspective view from the top indicate the relative number of conversations in each facet.",162
0,0,1,0,1,Neutral,All the illustrations thus far have shown the messages as temporally ordered and the conversations as ordered by start time.,163
0,0,1,0,1,Neutral,Time has been considered as an ordered variable.,164
0,0,1,0,1,Neutral,"To display more precise relative sequence information, the actual times of conversation posting can be included.",165
0,0,1,0,1,Neutral,"In Figure 11, the gaps between messages represent the amount of time that occurred between the conversations.",166
0,0,1,0,1,Neutral,"This mode of representation takes more space but does reveal the temporal interspacing of conversations between different people, thus providing relative time spacing.",167
0,0,1,0,1,Neutral,The timeline is still vertical and increases upwards.,168
0,0,1,0,1,Neutral,"In this view, when temporal data is used explicitly, each row of messages corresponds to the conversations in one day.",169
0.128,0,0.872,0.3612,0,Positive,A greater distance occurring between two conversation rows means that more days have occurred in between those two conversations.,170
0,0,1,0,1,Neutral,Figure 11: Temporal spacing.,171
0,0,1,0,1,Neutral,"In the temporal spacing mode, there can be more than one conversation occurring in one day causing conversation rows to overlap.",172
0.271,0,0.729,0.8074,0,Positive,"From both the side and top view, these overlapped conversation rows that occur in the same day can be fanned out like playing cards in a dealt hand (Figure 12).",173
0.046,0,0.954,0.0772,0,Positive,"Using this feature, one can determine the amount of conversations that occurred during one particular day by seeing the number of conversation lines as they are fanned out.",174
0.163,0,0.837,0.4767,0,Positive,Figure 12: Top view with temporal spacing - each facet is spread in a fan to see more than one conversation occurring in one day.,175
0,0,1,0,1,Neutral,4.5.,176
0,0,1,0,1,Neutral,Showing emoticon content We mentioned earlier that translucent planes were added for readability for the side view.,177
0,0,1,0,1,Neutral,These planes slightly obscure the rest of the structure without removing one's awareness of it.,178
0,0,1,0,1,Neutral,"Still using a subtle colour, the plane can be used to display information about conversational tone.",179
0,0,1,0,1,Neutral,The use of emoticons and punctuations in messages are evident with the color change of the plane.,180
0.147,0,0.853,0.3527,0,Positive,Figure 10: Top view ??one can approximate number of conversations that occurred with one person by comparing the sizes of the circle.,181
0.205,0,0.795,0.2023,0,Positive,Consider the view from the top (Figure 13).,182
0,0,1,0,1,Neutral,Here each corner of the translucent plane corresponds to one's conversations with a given person.,183
0,0,1,0,1,Neutral,The hexagonal shape results from the choice to display one's conversations with six people.,184
0,0,1,0,1,Neutral,"One can also move the translucent plane towards the viewer or away from the viewer, which has the effect of bringing into focus what is above and subduing what is below the plane.",185
0,0,1,0,1,Neutral,This interactive repositioning of the translucent plane moves through one's chat history.,186
0,0,1,0,1,Neutral,The neutral colour of the plane is pale yellow.,187
0,0,1,0,1,Neutral,Moving the \x0cscreen up or down to a different level will also cause colour changes as the use of emoticons changes.,188
0.286,0,0.714,0.765,0,Positive,structure the camera paths allow the freedom wanted and provide the user with the feeling of simple control and understandable view transitions.,189
0,0,1,0,1,Neutral,Figure 13: The colors of the translucent plane change according to the amount of emoticons used.,190
0,0,0,0,1,Neutral,5,191
0.141,0,0.859,0.2023,0,Positive,Interacting with CrystalChat There are several significant views for this 3D structure.,192
0,0,1,0,1,Neutral,Camera paths and smooth animation are applied to move through different views of this wheel-like structure.,193
0.176,0.085,0.739,0.5927,0,Positive,"In creating navigation interactions with CrystalChat, our purpose is not to limit the navigation power but to provide 3D interaction paths that give freedom without causing the viewer to lose themse,lves,in 3D scr,""een space.,""",194
0.164,0.2,0.636,-0.1027,2,Negative,Figure 14: Top view with no time filters applied.,195
0,0,1,0,1,Neutral,"Setting camera paths is similar to setting pan, scroll and zoom paths in 2D spaces.",196
0,0,1,0,1,Neutral,"For the side views, our 3D camera paths are set so that one can rotate forward or backward viewing the different facets in the structure.",197
0,0,1,0,1,Neutral,"Further navigations include panning upwards, downwards, and side-to-side and zooming in and out.",198
0.096,0,0.904,0.2023,0,Positive,"From the top view, the user can zoom in and zoom out, shifting forward and backwards through time.",199
0.2,0,0.8,0.7579,0,Positive,"This provides a rich 3D structure that contains possibilities of visual comparisons between several conversations, within an easy to use navigation scheme that is a simple extension to 2D navigation,"".,"",,",200
0.057,0,0.943,0.2023,0,Positive,"Switching from the side view to the top view or vice versa, the camera is animated automatically along a smooth camera path, guiding the viewing's eye to understand what is being done.",201
0.114,0,0.886,0.2023,0,Positive,How this camera path is shaped and how fast the camera moves is also important.,202
0,0,1,0,1,Neutral,"In general, we are familiar with the idea of moving through 3D space via camera paths through our experiences in movies.",203
0.211,0,0.789,0.4939,0,Positive,This idea has been successfully used in interfaces such as a 3D desktop [12].,204
0.2,0.056,0.744,0.765,0,Positive,"While we have not formally studied this, people (including the authors) outright refused to use a version with total 3D freedom and happily use the camera path navigation without mentioning it as an,issu,""e.,"",",205
0,0,1,0,1,Neutral,In this Figure 15: A time filtered selection.,206
0,0,1,0,1,Neutral,There are also filtering features available.,207
0.141,0.233,0.626,-0.2911,2,Negative,More occlusion problems start occurring when looking from top view.,208
0.286,0,0.714,0.4588,0,Positive,The filters allow users to filter conversations by selecting a certain time frame.,209
0,0.136,0.864,-0.296,2,Negative,Figure 14 has no filters applied and Figure 15 is filtered for a specific time period.,210
0.161,0,0.839,0.4005,0,Positive,"This way, different conversations from different people can be identified by their colours more easily.",211
0,0,0,0,1,Neutral,6,212
0,0,1,0,1,Neutral,Emerging Patterns With this visualization there are several patterns that became more visible in comparison to a simple text list.,213
0,0,1,0,1,Neutral,"In Figure 16, one can see that the person with the green disc initializes the conversation more often.",214
0.115,0,0.885,0.0772,0,Positive,The number and frequency of message posting varies for different people.,215
0.067,0,0.933,0.128,0,Positive,"From the visual pattern in Figure 17, we can see at a glance that the number of messages sent between the two people varies in that the person in grey sends more messages than the person in pink.",216
0.098,0,0.902,0.0516,0,Positive,Note that the person in grey often sends a series of consecutive messages.,217
0,0,1,0,1,Neutral,Figure 16: The person in green has started the majority of the conversations.,218
0.098,0,0.902,0.0772,0,Positive,Figure 17: The number and frequency of message posting varies for different people.,219
0,0,1,0,1,Neutral,"When the text view is expanded, colour coded letters show which person has sent longer messages (Figure 9).",220
0.167,0,0.833,0.34,0,Positive,The value of the colour changes to represent the length of the messages.,221
0.194,0,0.806,0.34,0,Positive,"For example, the darker the value means the longer the messages.",222
0.195,0.077,0.728,0.4767,0,Positive,We use this term value to mean the relative lightness or darkness of a given hue by increasing or decreasing the RGB values.,223
0,0,1,0,1,Neutral,"As shown in Figure 18, one can spot at a glance the more verbose conversations from those that consist of quicker word responses.",224
0.112,0,0.888,0.34,0,Positive,"Figure 18: The darker the color value of the message circle, the more characters that are typed for that message.",225
0,0,0,0,1,Neutral,7,226
0.119,0.122,0.759,-0.0258,1,Neutral,"Personal Response While CrystalChat has not been formally studied, this visualization has been distributed to several people and we received both positive and negative feedback.",227
0.175,0,0.825,0.5574,0,Positive,"On the positive side, use of this tool prompts people to reminisce, telling stories about their personal history.",228
0,0,1,0,1,Neutral,"For example, some people mentioned why they were talking a lot during a period of time and what they were talking about.",229
0,0,1,0,1,Neutral,As mentioned in [20] this use is parallel to common use of photo albums.,230
0.151,0,0.849,0.4939,0,Positive,People enjoy gathering around a set of pictures and hearing about the events that occurred when those pictures were taken.,231
0,0,1,0,1,Neutral,"Similarly, viewing previous IM conversations triggered this type of story telling.",232
0.231,0,0.769,0.4019,0,Positive,This is an interesting use for this type of tool.,233
0,0.172,0.828,-0.3612,2,Negative,"Previously, conversations were fleeting and often only hashed over in case of a disagreement.",234
0.433,0,0.567,0.7269,0,Positive,"In contrast, this type of story telling was clearly pleasurable.",235
0,0,1,0,1,Neutral,"Also, patterns confirm people's relationship with others.",236
0.076,0,0.924,0.4939,0,Positive,"For instance, one person reflected how his personal relationship has changed in the past months as he was able to see the social pattern through the visualization that he did not have as many conver,satio,ns with h,""is friend any more.,""",237
0,0,1,0,1,Neutral,"Even though CrystalChat currently does not show the name of the person they are talking to, people were able to identify who the person was by reading the conversation.",238
0.154,0,0.846,0.4767,0,Positive,From this a person realized that she had longer conversations with women than she did with her male friends.,239
0,0,1,0,1,Neutral,This program not only allowed people to discover their own personal patterns but also allowed them to reflect upon themselves and influenced them to change their social behavior in the future.,240
0,0,1,0,1,Neutral,"A person uttered, ???don???have as many conversations with this person anymore, and this is probably something I should do more often??",241
0,0,1,0,1,Neutral,Another person realized the majority of the conversations that she initialized were mainly because she had a question about \x0csomething.,242
0,0,1,0,1,Neutral,This gave her pause to consider whether this social pattern was something she would change.,243
0.101,0.135,0.764,-0.2315,2,Negative,"On the negative side, while people really did like the camera paths implemented, they wanted to do more navigation outside of these paths.",244
0,0,1,0,1,Neutral,"For instance, zoom out further while still rotating the 3D structure.",245
0,0.173,0.827,-0.5574,2,Negative,"In this situation, because people could still navigate for themselves in 3D space, they sometimes got confused and at times, lost in 3D space.",246
0,0,1,0,1,Neutral,We are currently working on extending the work with camera paths to provide all the 3D navigation that the structure requires.,247
0.207,0,0.793,0.8225,0,Positive,"We need to study for this 3D structure, whether a set of camera paths is sufficient or whether a good set of paths plus free navigation with a method for easily returning to the path set may be pref,erred,"".,"",",248
0,0.124,0.876,-0.34,2,Negative,"With real-time chat conversations, graphical representations can be overwhelming and can cause distractions when people are trying to pay more attention to typing and reading responses.",249
0.135,0,0.865,0.2924,0,Positive,"However, viewing chat history is not a distraction as it is a tool intended for afterconversation use.",250
0,0,0,0,1,Neutral,8,251
0.227,0.125,0.648,0.296,0,Positive,Discussion and Future Work There are certainly advantages and disadvantages to archiving conversations such as instant messaging.,252
0.254,0,0.746,0.6249,0,Positive,"Lovejoy and Grudin [13] mention that ephemeral conversations, such as instant messaging, encourage casual and informal exchanges.",253
0.098,0,0.902,0.1045,0,Positive,"However, once conversations are archived people tend to write more formally and less casually.",254
0.076,0,0.924,0.438,0,Positive,"This may be an issue, but if chat histories are used in an informal setting or if the system is set in a way where only the authors have viewing permission, it may not be a large problem.",255
0,0,1,0,1,Neutral,"As mentioned earlier, CrystalChat is a user-centric system where only one's own conversations can be viewed.",256
0,0,1,0,1,Neutral,"The general design structure of CrystalChat can be used with other types of messaging applications, but there are some limitations.",257
0,0,1,0,1,Neutral,Cell phone text messaging might be appropriate because exchanged messages are generally short.,258
0,0,1,0,1,Neutral,This could be applied to email but some decisions would have to be made.,259
0.049,0,0.951,0.0772,0,Positive,"For instance a facet could represent an email thread or a facet could represent one person, each row representing one email and each circle representing a sentence or a word.",260
0,0,1,0,1,Neutral,"However, the limitations would arise because the text in emails tends to be longer.",261
0.231,0,0.769,0.4019,0,Positive,"Theoretically, this 3D structure can support a considerable amount of information.",262
0.101,0,0.899,0.2023,0,Positive,Each conversation from a new day can be stacked on top of the ones from the day before.,263
0,0.121,0.879,-0.296,2,Negative,Conversations also can be very long as there are no boundaries for the length of conversation rows.,264
0,0,1,0,1,Neutral,"Technically speaking, however, computers can only store so much information before runtime response becomes unbearable.",265
0.073,0,0.927,0.2023,0,Positive,Interaction with the system can become tedious as panning from the bottom to the top will take longer as the years of conversations increases.,266
